user_id,age,gender,height_cm,weight_kg,goal,experience_level
1,62,Female,170.95319598884998,76.59034706744379,cardio,intermediate
2,19,Female,184.02287076230633,60.72965289881971,muscle_gain,beginner
3,61,Female,156.59392487270702,66.30595003018816,muscle_gain,intermediate
4,29,Male,172.85322449613042,80.65986894772612,cardio,beginner
5,69,Female,162.1162427058309,72.12075339516669,cardio,advanced
6,28,Male,162.25492100865978,45.29826495545446,muscle_gain,advanced
7,43,Male,154.52747594747177,71.81654219411516,cardio,beginner
8,18,Female,172.76395979356835,53.78029335030807,weight_loss,beginner
9,66,Female,171.23975643441915,55.77183749814381,muscle_gain,beginner
10,67,Male,174.1660141836058,65.17270499522216,muscle_gain,beginner
11,26,Male,172.46866314458646,67.69932216565802,muscle_gain,intermediate
12,44,Female,184.22853618081146,48.920185756123004,muscle_gain,beginner
13,27,Male,160.94535305028333,102.22013668543396,muscle_gain,beginner
14,53,Female,184.88042632594286,68.14023611792251,weight_loss,advanced
15,46,Female,166.7963435002099,55.96988486285365,cardio,advanced
16,27,Female,154.89656053396098,108.12245609914366,weight_loss,intermediate
17,17,Female,152.32839093127913,64.84592250145575,cardio,advanced
18,53,Female,171.61185620075304,72.45874065641264,cardio,intermediate
19,66,Male,177.2911450609726,40.0,weight_loss,beginner
20,21,Male,169.47551757886734,80.10244316692322,weight_loss,advanced
21,16,Male,158.53789065299785,70.91857413478574,muscle_gain,advanced
22,49,Female,148.48553331397844,51.461999676167125,muscle_gain,intermediate
23,60,Female,162.46750015345387,47.324380742828495,muscle_gain,beginner
24,37,Female,168.02559578795828,91.004466336134,muscle_gain,beginner
25,35,Female,158.6211316854936,59.54270948826366,cardio,advanced
26,29,Female,171.10254293057528,53.71607198232823,muscle_gain,beginner
27,62,Female,185.02352345800642,40.0,weight_loss,beginner
28,49,Female,168.13088059556486,62.2645183685847,weight_loss,advanced
29,47,Female,167.14693310647013,62.88769666243373,weight_loss,intermediate
30,21,Male,158.1844246105268,102.53721639373697,muscle_gain,intermediate
31,18,Female,168.4604799806863,87.25234388584691,weight_loss,intermediate
32,35,Female,161.88797747767137,52.012081146870756,cardio,advanced
33,21,Male,176.42746605723568,66.19051204438121,weight_loss,intermediate
34,45,Female,167.0083422623311,59.44802987260794,cardio,advanced
35,45,Male,172.50116467847002,93.25679225434202,cardio,advanced
36,33,Female,153.91806974814102,68.98086965756801,cardio,advanced
37,23,Male,171.47083970642123,57.22652509974189,muscle_gain,advanced
38,64,Female,178.36059335521094,60.720338085443075,muscle_gain,advanced
39,66,Female,158.89790317044728,76.9375512821528,weight_loss,intermediate
40,66,Female,173.20958692605717,53.95444262016979,cardio,beginner
41,56,Male,167.2414287994178,55.01961370971845,weight_loss,advanced
42,26,Male,170.0490412680756,88.30595438425925,muscle_gain,beginner
43,41,Female,183.3990478961474,64.59962666581453,weight_loss,advanced
44,34,Female,177.77642152746262,56.998465199772355,muscle_gain,advanced
45,20,Female,175.94919344770668,68.00347858650548,weight_loss,beginner
46,33,Female,146.7406366108121,58.69722931172557,weight_loss,intermediate
47,43,Male,155.53468268381386,70.4598416347359,muscle_gain,beginner
48,72,Female,171.38654652634602,74.13942693381507,cardio,advanced
49,53,Male,182.47724767353614,54.30929495949679,weight_loss,advanced
50,73,Male,159.53019850655357,76.87243355147433,weight_loss,advanced
51,42,Female,173.49558663943543,86.82070236327954,weight_loss,intermediate
52,38,Male,171.00496675360324,86.87297659109488,weight_loss,advanced
53,61,Male,151.00452644595646,80.52523750361753,weight_loss,intermediate
54,38,Female,152.3270459219019,55.55971883038737,muscle_gain,beginner
55,47,Female,181.00271538574933,66.53858235688966,weight_loss,intermediate
56,69,Male,147.55640988937967,64.79252541053106,muscle_gain,advanced
57,32,Male,151.00523017292844,65.42908802883964,weight_loss,intermediate
58,49,Male,174.87612422182684,86.44630945027704,cardio,beginner
59,47,Male,166.4821060716711,72.06855142445221,weight_loss,intermediate
